body,title
"
 Llegué a la presidencia municipal de Metepec, en el Estado de México, en 2009: meses después de la tragedia ocurrida en la Guardería ABC, una estancia infantil que funcionaba en el norte del país, bajo el modelo de subrogación del Instituto Mexicano del Seguro Social, un ámbito lejano a mis facultades legales, pero cercano a mis posibilidades como alcaldesa y mi convicción de sumar, en lugar de culpar.  Hacía poco tiempo que el gobierno federal había implementado otro Programa de Estancias Infantiles, a cargo de la Secretaría de Desarrollo Social y sin dudarlo, me di a la tarea de buscar el directorio de las ubicadas en el territorio municipal, a fin de revisar sus instalaciones a través del área de Protección Civil y de apoyar para garantizar la seguridad de las y los menores que a diario albergaban.  De la mano de normas y especialistas, tomamos también medidas en las Estancias Infantiles a cargo del Ayuntamiento, a fin de minimizar riesgos y cumplir con la responsabilidad que establece la ley: identificar y analizar riesgos, para la prevención y mitigación.  Hoy en México no hay más Estancias Infantiles que supervisar, porque desaparecieron bajo falsos señalamientos, al igual que se eliminó el Instituto Nacional de Infraestructura Educativa y los recursos que llegaban a las entidades federativas para rehabilitar nuestras escuelas, y es que no hay razón que valga a la hora de discutir el Presupuesto en una Cámara de Diputados donde la mayoría oficialista solo acata instrucciones. Pero siempre hay algo que sí se puede hacer, sobre todo cuando la realidad lo demanda.  Recientemente fue dado a conocer el reporte “Evaluación del sistema educativo en el nivel básico”, a cargo de la Auditoría Superior de la Federación (ASF), el cual advierte que, de las 197 mil 843 escuelas públicas registradas desde el nivel preescolar hasta el nivel de secundaria, 147 mil 570 instituciones (siete de cada diez) carecen de un programa de Protección Civil.  Aunado a lo anterior, la ASF subrayó que gran parte de estas escuelas ya rebasaron su vida útil en términos de infraestructura, y son peligrosas para la comunidad que las utiliza.  De acuerdo con la “Guía para Elaborar o Actualizar el Programa Escolar de Protección Civil”, es prioritario proteger a las niñas, niños y adolescentes en las escuelas y enseñarles sobre los peligros a los que pueden estar expuestos y preparar al alumnado, a docentes, directivos, padres de familia y a la comunidad escolar en general, para actuar de la mejor manera, antes, durante y después de una emergencia.  Por eso, esta semana solicité a la Comisión Permanente del Congreso de la Unión exhorte a las secretarías de Educación Pública y de Seguridad y Protección Ciudadana, a través de la Coordinación Nacional de Protección Civil, para que promuevan la elaboración de los Programas Escolares de Protección Civil ante las autoridades educativas estatales que aún no lo tengan, priorizando las escuelas públicas del nivel preescolar, primaria y secundaria.  Asimismo, pedí que la Secretaría de Seguridad y Protección Ciudadana realice la investigación, estudio y evaluación de los riesgos, peligros y vulnerabilidades en los centros e instituciones educativas cuya infraestructura ha rebasado su vida útil. Y volveré a exigir reglas de operación claras y presupuestos para la infraestructura educativa, en la discusión del paquete económico.  Basta de ser víctimas eternas. Aprendamos a usar la memoria como impulso para actuar, en lugar de politizar las tragedias y repartir culpas. Urge convertir el hartazgo en reflexión, creatividad y acción colectivas. Hagamos que suceda.  Diputada federal @AnaLiliaHerrera    Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, planes para el fin de semana, Qatar 2022 y muchas opciones más.
",
"
 A escasos dos años de la elección presidencial, por primera vez en la historia de la política nacional podría darse una contienda entre dos partes, susceptible de llamarse bigrupartidista, por cuanto que estaría dada por un grupo de partidos de un lado y de otro, cada uno con su candidato.  El primero está perfilado por el presidente Andrés Manuel López Obrador. Él propone que su sucesor surja de una encuesta. Seguramente así será. El elegido está en la lista de nombres que exhibió cuando dio el banderazo de salida de la carrera por la Presidencia.  Morena aprueba ese método y seguro el PVEM y el PT, aliados y beneficiarios de su popularidad y sus decisiones, harán lo mismo. Por él han ganado lo que tienen y sólo con él podrían conservarlo y acrecentarlo. En esa lógica, no sería inconcebible que a ese grupo se le agregaran otros, interesados en obtener algo de lo mucho que tiene y que buscará mantener a todo costo.  El otro conjunto de partidos en perspectiva de ir a la contienda bigrupartidista, tiene ya su base en el PRI-PAN-PRD. Aliados en Va por México, han tenido actuaciones exitosas que los alientan a mantenerse. En 2021 avanzaron bastante y el domingo pasado ganaron Aguascalientes y Durango.  Sí por México despliega estrategias para que MC, dirigido por Dante Delgado, se una a Va por México. Conocedor del sistema político y empeñado en que la democracia sea más genuina y diferente, sostiene una idea: construir una nueva oposición.  Esta —dice— deberá quedar configurada en enero de 2023 y no refiere a una mezcla de partidos de cualquier signo y color que quieran enfrentar a Morena.  La condición para que la nueva oposición PRI, PAN, PRD y MC pueda darse, es que esté, según el político veracruzano, “por encima de los partidos; tendrá que ser con actores verdaderamente representativos de la sociedad”.  Eso significaría que primero escuchará a la sociedad y buscará liderazgos regionales en todos los sectores; procurará que el candidato sea joven, preparado, con arraigo en su comunidad, convencido de la necesidad de luchar por un cambio profundo en la política y en el país. Deberá tener un Proyecto de Nación para todos.  Con visión y prudencia, Dante Delgado hace notar que, si bien el mandato actual de su partido es competir sin alianzas en las elecciones en puerta, en diciembre fijará la ruta. “No encartamos ni descartamos a nadie”.  Una posible alianza, empero, no tiene que verse únicamente con el PRI, PAN y PRD; hay quienes no descartan que pudiera darse con Morena, con lo cual esos partidos quedarían en el desamparo y frente al fracaso. Habría una nueva hegemonía que, como el priísmo, se recrearía en el poder cuanto le fuere posible.  Se incline MC en un sentido o en otro, Dante Delgado tendrá mucho qué decir respecto del candidato.  ¿Está en sus parámetros alguno de los que buscan la candidatura por Morena? ¿Lo buscará, lo propondrá y lo aceptaría Va por México? ¿Aceptaría uno de esta alianza? Gran dilema por resolver.  Por la democracia, la sociedad y el país, la contienda presidencial debería darse entre dos partes. Con un ejercicio bigrupartidista, que sería una auténtica partida de ajedrez, la ganancia y la utilidad… sería para todos.  Sotto Voce  El presidente de la Suprema Corte, Arturo Zaldívar, cumple su ofrecimiento de luchar por la libertad de decenas de mujeres injustamente encarceladas o no sentenciados. Ya salió la primera… Clara y contundente, la respuesta de AMLO a los señalamientos de senadores norteamericanos en su contra. En la reunión privada bilateral programada para julio próximo, algunos consideran que convendría reclamarle al presidente Biden la “doble moral” que históricamente ha utilizado EU para evadir el problema del consumo interno de drogas por una tercera parte de su población, y el ingreso ilegal de armamento a México.       Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, planes para el fin de semana, Qatar 2022 y muchas opciones más.
",
"
Ayer en esta columna le revelé que la crisis aérea en México tiene un piloto responsable… pero también varios copilotos. Que la Agencia Federal de Aviación Civil tiene al frente al general del Ejército Carlos Antonio Rodríguez Munguía, quien ha fracasado en su intento de recuperar la Categoría 1 de seguridad aérea para México y que su gestión y su dependencia están, según fuentes oficiales, en medio de señalamientos de ineptitud y corrupción. 
En la lista de copilotos de la debacle aérea mexicana destaca Martha León García, directora del Centro Internacional de Adiestramiento de Aviación Civil (CIAAC). Es acusada de haber grabado a su sucesor para chantajearlo y obtener el puesto hace unos años. Las fuentes la señalan como quien negocia trámites, licencias, cursos, capacitaciones y las acreditaciones de los inspectores a contentillo, impactando el número de personas que pueden realizar las verificaciones. 
Sobre Jacob González Macías, director de Desarrollo Estratégico, denuncian que desechó un sistema certificado por la Organización de Aviación Civil Internacional por el cual se pagaron millones de dólares y lo sustituyó por sistemas caseros que duplican el personal y el costo requerido para un trámite. No irá rápido, pero tiene control. Muy 4T. Por cierto, regresar al sistema original es una de las condiciones de la FAA para recuperar la Categoría 1.
Algunos de los señalamientos más graves van contra Guillermo Macías Avitia, director Ejecutivo de Seguridad Aérea, un exmilitar acusado de comandar una red de espionaje interno y de coordinar un esquema de extorsión que operaría en la red de aeropuertos del país: es quien nombra, coordina y supervisa todas las comandancias regionales y aeroportuarias, que son las que verifican documentos y cargamentos de las aeronaves. Denuncias internas hablan de fabricación de documentos, soborno de funcionarios, autorización discrecional de vuelos… a 100 mil pesos por operación. Venta de certificados de aeronavegabilidad y cobro de mordidas a talleres aeronáuticos. 
No lo hace solo. Las fuentes indican que le inventó un cargo a Ubaldo Alberto Espinoza Trejo para operar las supervisiones. Tiene a Cristian Olvera Martínez para abrir el paso a dos negociadores externos, presuntos amigos de Macías Avitia, que “ayudan” a las aerolíneas y a los talleres a agilizar, destrabar y autorizar los trámites necesarios. Y a Marlin Arce de la O, directora de certificación de licencias, donde internamente hay quejas de que para sortear el retraso de 6 meses hay que poner entre 50 y 100 mil pesos en la mesa. 
Con este panorama, con esta bitácora detallada del desastre, no es sorpresa la crisis en la que está metida la aviación mexicana. El secretario de Gobernación, Adán Augusto López, a quien el presidente AMLO ha decidido encomendar la solución de esta crisis, tiene dos opciones: agilizar las investigaciones de estas denuncias para limpiar y eficientar el sector… o escudarse en la retórica de las conspiraciones. A ver qué escoge, sobre todo porque está en campaña. 

[email protected]
 Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, planes para el fin de semana, Qatar 2022 y muchas opciones más.
",Los copilotos de la debacle (II)
"
Esta semana tiene lugar en la ciudad de Los Angeles, California, la IX edición de la Cumbre de las Américas, iniciativa del presidente Clinton que data de 1994. En esta ocasión, Estados Unidos, el país anfitrión, para bien o para mal, decidió restringir la invitación a los regímenes del hemisferio que considera democráticos. Con ello dejó fuera a Venezuela, Cuba y Nicaragua. A pesar de que esta decisión excluyó solamente a tres de los 35 países del hemisferio, el presidente de México decidió no asistir, a partir del argumento de la debida inclusión, aunque para muchos en realidad esta decisión refleja su mayor afinidad con gobiernos como el de Cuba, con un socialismo anquilosado; Venezuela, que tiene hoy más de 6 millones de ciudadanos fuera del país por razones de sobrevivencia o, como Nicaragua, cuyo líder metió a la cárcel a sus opositores políticos. Todos ellos tienen en común hacer y deshacer a voluntad, muy por encima de las reglas básicas de la democracia.   Para México esta decisión es una tragedia dada la enorme e innegable dependencia de nuestro país de la economía de los Estados Unidos, de las remesas que envían los paisanos y de que es el único país en el mundo que realmente podría apoyarnos en temas tan críticos como la pobreza y la desigualdad, la recuperación económica y la seguridad pública. Sin embargo, no todo son malas noticias. Lejos quedaron los tiempos en los que los gobiernos eran los únicos actores que contaban en las relaciones internacionales. Hoy en día la dinámica mundial es el resultado del posicionamiento y participación no solo de gobiernos, sino también de múltiples actores del sector privado y del sector social. Un buen ejemplo de ello fue la aparición del reporte intitulado Las Américas en tiempos adversos: en busca de una agenda renovada, resultado de un trabajo de varios meses en el que participaron más de 50 especialistas latinoamericanos, ocupados y preocupados por lo que sucede en el mundo y, particularmente, en la relación entre los países de América Latina y El Caribe y Estados Unidos y Canadá.   Este esfuerzo, coordinado por El Colegio de México, la Universidad de los Andes (Colombia) y la Universidad Torcuato di Tella (Argentina), resultó en un reporte bilingüe preparado exprofeso para esta Cumbre, en el que se realiza un diagnóstico y recomendaciones en torno a la imbricada agenda de los países del hemisferio. El documento final aborda temas cruciales del contexto internacional como la relación del hemisferio con China y las consecuencias de la guerra en Ucrania; aspectos centrales para el futuro como la energía y el cambio climático; temas urgentes como la seguridad pública y, ciertamente, los temas más dolorosos como la pobreza y la desigualdad, que se reflejan en el aumento de los flujos migratorios, en la polarización política y en crecientes problemas de gobernabilidad. El entorno hemisférico y mundial es sumamente complejo. El liderazgo estadunidense esta cuestionado en América Latina y, entre latinoamericanos y caribeños, estamos ayunos de liderazgos. Las capacidades de concertación y construcción conjunta en este momento no son las mejores. Frente a este escenario, como bien señala el reporte, las inercias del pasado parecen obnubilar la visión del futuro. A pesar de ello, su filosofía no es derrotista: es tiempo de sembrar, para en el futuro cosechar y hacen recomendaciones concreta para construir camino. Debe mencionarse que este esfuerzo no se acotó al análisis y la elaboración de un magnífico reporte. Se realizaron las gestiones para insertarse en los eventos de la cumbre en el capítulo de organizaciones sociales, donde tuvo muy buena acogida. Entre las propuestas y reportes ahí planteados, se seleccionó para una reunión con la vicepresidenta Kamala Harris, que lo elogió e incluso lo llevó con ella haciendo la broma de que ella no cargaba documentos, pero que en este caso valía la pena tener la versión impresa. Afortunadamente las relaciones de México con el exterior no solamente dependen de los representantes formales del Estado. Felicidades a los promotores y realizadores de este trabajo. [email protected]  
",
"
 El pasado sábado 4 de junio será recordado como una fecha transcendental para nuestro país, ya que por primera vez una mujer mexicana forma parte de una misión espacial, antes de ella, Rodolfo Neri Vela participó en la misión del Transbordador Espacial Atlantis en 1985. Katya Echazarreta dio muestra de que nada está fuera del alcance cuando se tiene voluntad y acceso a elementos de formación y preparación necesarios.  La historia de esta joven, que es orgullo nacional, es de lucha y sacrificio. Cuando tenía siete años emigró a Estados Unidos, donde salió adelante gracias a un esfuerzo constante y la meta fija de estudiar, superando toda clase de adversidades para completar su carrera de ingeniería en electricidad, que la llevó a trabajar en la NASA.  Está claro que un país con un sistema educativo desarrollado y con oportunidades permite la superación de las personas y fomenta su desarrollo. Esta noticia debe ser un acicate para fortalecer la educación en México y evitar que se abandonen los mecanismos que permiten su evaluación, pues, como dijo William Thomson, “Lo que no se mide, no se puede mejorar. Lo que no se mejora, se degrada siempre.”  Paradójicamente el domingo, un día después de que esta mexicana alcanzara el espacio exterior, se dio a conocer que la calidad de los conocimientos que reciben las y los estudiantes en nuestro país no puede ser medida. De acuerdo con este mismo diario, se dejaron de aplicar tres evaluaciones de educación básica: Planea (Plan Nacional para la Evaluación de los Aprendizajes), el Estudio Regional Comparativo y Explicativo, y TALIS (Teaching and Learning International Survey).  Es preciso recordar que la educación sirve para aumentar los grados de libertad de las personas con el fin de que se desarrollen, es decir, funciona como una herramienta para garantizar que las y los niños reciban los conocimientos necesarios para que, como Katya, puedan alcanzar todo aquello que se propongan. En ese sentido, evaluar resulta fundamental para conocer el estado que guarda el sistema educativo.  La nueva política que rige a las instituciones de educación nacional, denominada “Nueva Escuela Mexicana”, cuenta con un enfoque distinto. Algunos de los principios que la distinguen son el fomento de la identidad mexicana, la responsabilidad ciudadana, el compromiso con la honestidad, la participación en la transformación de la sociedad y el respeto a la dignidad humana, entre otros. Asimismo, algunas de las autoridades encargadas de su implementación han mencionado que es necesario un cambio en el modelo educativo que termine “con las pruebas estandarizadas que segregan a la sociedad”.  Sin duda, es muy importante lograr que la educación de nuestras niñas, niños y jóvenes sea cada vez de mayor calidad, pues los 35 millones de estudiantes de México tienen el potencial para ser como Katya, nuestra astronauta. ¡Se los debemos!  Senador de la República    Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, planes para el fin de semana, Qatar 2022 y muchas opciones más.
",
"

 

Durante el proceso electoral para renovar gubernaturas y algunas alcaldías y diputaciones locales en Aguascalientes, Durango, Hidalgo, Oaxaca, Quintana Roo y Tamaulipas, se vio la desesperación del gobierno federal por implantar un régimen totalitario. Esperaban llevarse carro completo y fracasaron. 
 
Arrogantemente en la 4T decían que se llevarían seis de seis gubernaturas y cometieron todo tipo de ilegalidades. Usaron y abusaron de los programas sociales para amenazar a la gente. Los servidores públicos del régimen abandonaron sus responsabilidades y se volcaron a promocionar la imagen de los candidatos oficialistas. Utilizaron recursos públicos para sus movilizaciones. Incluso, pactaron con el narco. Pero nada de eso les funcionó. 
 
Los candidatos del PAN, liderados por el presidente Marko Cortés, de la mano con el PRI y el PRD, hicieron campañas propositivas y que verdaderamente atienden los problemas del pueblo de México. El compromiso que tiene la coalición “Va por México” es clara: sacar al mal gobierno de Morena y llevar a México hacia el futuro. 
 
Los mexicanos merecen que se escuchen sus voces, que se atiendan sus problemas, que se solucione la inseguridad, que no se pacte con el narco. Asumiendo este compromiso, el vicepresidente de la Cámara de Diputados, Santiago Creel, y el coordinador de los diputados federales, Jorge Romero, junto con otros diputados y senadores, caminamos las calles de esos seis estados y escuchamos cómo el gobierno federal se ha olvidado de la gente. 
 
El gobierno federal intentó hacer una elección de Estado pero no pudieron. La oposición ganó las gubernaturas de Aguascalientes y Durango, donde la diferencia fue avasalladora. Se ganaron por más de 15 puntos porcentuales. Y la elección en Tamaulipas, será impugnada. 
 
Durante la elección de 2018, en esos seis estados, tuvieron 3.9 millones de votos y este año perdieron 1.2 millones. El pueblo de México ya no los apoya porque estamos ante una de las crisis de inseguridad más graves de la historia moderna de nuestro país. Morena ha desviado el dinero de los mexicanos y lo ocuparon en las campañas. No atienden las desapariciones, los asesinatos y los feminicidios, pero sí protegen a las bandas delincuenciales. 
 
Ante esta elección de Estado, hubo un alto nivel de abstencionismo; sin embargo, es importante reconocer la participación de los miles de ciudadanos quienes acudieron a pesar de las amenazas, del amedrentamiento y de la inseguridad a las urnas a emitir su voto. Tenemos claro en la oposición que debemos defender al pueblo de México del populismo que es corrupto, gobierna mal y tiene acuerdos con la delincuencia. 
 
En Acción Nacional y en la coalición tenemos el compromiso de defender a México y estamos seguros que se necesitan elecciones democráticas, donde los mexicanos elijan, donde la delincuencia no meta las manos, donde se escuche a la gente y se den propuestas. Necesitamos fortalecer a nuestros árbitros electorales. Por ello, asumimos nuestro compromiso de construir contrapesos y fortalecer a nuestras instituciones. México no merece elecciones de Estado al estilo de los regímenes totalitarios. 
 

Senadora de la República
 
Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, planes para el fin de semana, Qatar 2022 y muchas opciones más.
","Elecciones de Estado, al estilo de regímenes totalitarios"
"
La Selección Mexicana ya tiene su lugar en el Mundial Qatar 2022, pero las inquietudes no cesan para la afición tricolor de cara a la Copa del Mundo. La falta de gol encabeza esa larga lista de preocupaciones y prácticamente toda la responsabilidad recae en una persona: Raúl Jiménez. Si bien, el futbol es un deporte de conjunto, el delantero del Wolverhampton es el ‘9’ de la Selección Nacional y Gerardo Martino lo ha repetido en incontables ocasiones. Previo al amistoso contra Nigeria, el Tata lo volvió a defender y enfatizó que es su referente en el ataque.       Chicharito Hernández y Tata Martino tendrán una reunión          “Hay una competencia por el ‘9’, pero estamos claros, nosotros estamos con Raúl; es nuestro referente, al cual debemos ayudar a que recupere su mejor versión”, declaró. Sin embargo, hay algo que no ayuda en nada al Tata y, al contrario, agrava la situación. Los principales atacantes de sus rivales de grupo en Qatar 2022 tienen en sus clubes cifras superiores a las de Raúl. Mientras Robert Lewandowski ha participado en 57 goles (siete asistencias) con el Bayern, Jiménez lo ha hecho únicamente en 11 (cinco pases); Lionel Messi en 26 (15 servicios) con el PSG y Firas Al-Buraikan, del Al-Fateh, en 15 (cuatro asistencias)... Números rojos.       La Selección Mexicana Sub-21 fue humillada por Francia en el Esperanzas de Toulón           Esa crisis de Raúl  con el equipo inglés se ha visto reflejada en el Tricolor, donde sus últimos tres goles fueron de penalti y no anota de otra forma desde el 17 de noviembre de 2020, en amistoso contra Japón. Los números de Jiménez son una latente preocupación para el Tri. de contratarlo, pero al final la negociación se vino abajo por temas similares.   
",
"
BERLÍN.- Un sacerdote de la Iglesia católica en Alemania fue hallado muerto un día después de ser interrogado y suspendido dentro de una investigación por supuestos abusos, dijeron el viernes responsables eclesiásticos. La diócesis de Limburg explicó en un comunicado que el director de su seminario fue encontrado muerto el jueves. No ofreció más detalles sobre la causa del deceso pero apuntó que el religioso, a quien no identificó, había ocupado cargos de responsabilidad en la diócesis durante varios años. El fallecimiento “ha sido un golpe duro, causa consternación y desconcierto, y plantea muchas cuestiones”, añadió la nota. Lee también: Hallan viva a mujer que había sido dada por desaparecida en 1980 tras el homicidio de sus padres  Fue acusado de comportamiento inapropiado “Se le había escuchado en una entrevista personal el miércoles 8 de junio en relación con las acusaciones de comportamiento inapropiado, como exigen el reglamento eclesiástico pertinente”, apuntó la diócesis. “El obispo Georg Baetzing lo cesó de todos sus cargos para poder examinar y aclarar las acusaciones”. La diócesis envió sus condolencias a la familia del fallecido y señaló que “al mismo tiempo, nuestros pensamientos están también con aquellos que denunciaron las supuestas acusaciones”. A principios de semana, la diócesis de Limburg anunció que un antiguo sacerdote había sido condenado en un juicio eclesiástico por abusar sexualmente de un menor hace casi tres décadas y que se le impuso una multa. Lee también: Influencer chino desaparece de internet tras aludir en plena transmisión a la masacre de Tiananmen Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, Qatar 2022 y muchas opciones más. vare/acmr
",
"
La fórmula que Andrés Manuel López Obrador prepara hace varios meses para retener el gobierno de la Ciudad de México es muy parecida a la que mantiene en la elección federal. Mientras Claudia Sheinbaum sigue encabezando sus preferencias personales para relevarlo en la Presidencia, la apuesta por la capital del país es la actual secretaria de Seguridad Ciudadana federal, Rosa Icela Rodríguez.
La virtual jefa de la Guardia Nacional —la corporación tiene en la práctica una estructura y mando militarizado— ha sido la encargada de socializar esta decisión, la cual es confirmada por fuentes de Palacio Nacional, quienes aseguran que el Presidente ha dado luz verde a la funcionaria para buscar la candidatura y para presentarse en ese camino como “la favorita”, al igual que su antigua jefa en el gobierno capitalino lo hace para la presidencial.
El perfil de Rosa Icela encaja perfectamente con las expectativas de López Obrador: una mujer aguerrida, identificada plenamente con la izquierda y leal; las mismas características que encuentra en otras funcionarias clave del gabinete, a las que ha confiado tareas de alta relevancia para su administración. Es el caso de Raquel Buenrostro, jefa del SAT; Rocío Nahle, secretaria de Energía, y Thalía Lagunas, oficial Mayor de la Secretaría de Hacienda.
Una eventual mancuerna de Claudia Sheinbaum, para la presidencia, y Rosa Icela, para la CDMX, sería el escenario ideal para AMLO en 2024. De materializarse así las victorias de Morena, se estarían confirmando seis años de un nuevo “maximato”, en el que las decisiones de gobierno pasarán por territorio chiapaneco, en el rancho “La Chingada” en Palenque.
No obstante, las similitudes entre las aspirantes no corresponden a las de los contextos que ambas deberán enfrentar para su respectiva elección. Sheinbaum tiene la ventaja de avanzar sobre un camino pavimentado por López Obrador, con los votos de prácticamente todo el sureste del país en la bolsa y con gran terreno avanzado desde el centro hasta el norte, gracias a que Morena y sus gobernadores aliados controlarán al finalizar este año 22 gubernaturas.
Por su parte, Rosa Icela Rodríguez deberá tomar un sendero en el que la actual jefa de Gobierno no ha podido siquiera aplanar el terreno, y en el que cada día se ve un mayor deterioro. La elección de 2021 dejó claro al obradorismo que la ciudad en la que la izquierda se instaló hace 25 años, y que fue gobernada en su momento por el actual Presidente, puede pasar sin muchos apuros a manos de la oposición.
La desilusión de las clases medias frente a un gobierno que las quiere borrar del mapa y las califica de “aspiracionistas”, sumada a los conflictos internos que prevalecen entre los viejos y nuevos liderazgos capitalinos de partido, hacen muy posible que se presente un escenario de alternancia, para establecer por primera vez en la CDMX un gobierno emanado de la derecha, o del ala conservadora como dice López Obrador, que deberá convivir con una presidencia que muy probablemente será otra vez de la 4T.
El Presidente tiene 16 millones de votos listos para ponerlos al servicio de Sheinbaum, pero no tiene por el momento los números para asegurar la victoria de una candidata en la capital del país. Se abre así la baraja para que irrumpan en el carrusel morenista otras “corcholatas”, entre las que figuran el secretario de Gobierno, Martí Batres; el secretario de Seguridad Ciudadana, Omar García Harfuch, y la Fiscal de la CDMX, Ernestina Godoy.
También deberán tomarse con mucha seriedad las aspiraciones y las estructuras de poder de Ricardo Monreal, quien empieza a apuntar hacia la candidatura para la Presidencia, a sabiendas de que en el camino le podría tocar un muy atractivo premio de consolación.

Posdata
Claudia Sheinbaum no tiene la intención de renunciar al gobierno de la CDMX este año. Ve su puesto actual como una plataforma para seguirse promocionando en la capital, mientras que aumentará las giras al interior del país, junto al Presidente.
 

@MarioMal[email protected]
  
Suscríbete aquí para recibir directo en tu correo nuestras newsletters sobre noticias del día, opinión, planes para el fin de semana, Qatar 2022 y muchas opciones más.
",Las “corcholatas” Rosa Icela y Claudia
"
Gerardo Martino aceptó acercamientos con Javier Hernández, pero antes de dar lugar a especulaciones, lo aclara: Esto no significa que cambie algo.  El 'Tata' Martino ha tenido comunicación con el futbolista del LA Galaxy vía escrita, verbal y ahora se pondrán en contacto ""vía Zoom"". Así lo aseguró en timonel del Tricolor. “No cambió nada, yo mismo lo expresé. Hemos tenido un contacto hace un mes o mes y medio de forma escrita, luego verbal, yo no tuve el alta médica para viajar y encontrarme con él"", declaró Martino en conferencia de prensa.        Rogelio Funes Mori: Sería importante que Chicharito llegue al Mundial           Asimismo, aseguró que el encuentro sería virtual y no garantizó nada para Chicharito  Hernández, quien no es convocado por el estratega del equipo nacional desde 2019. ""Seguro haremos un zoom y no marca nada más que una charla entre un futbolista y un entrenador y así que no hay que hacer una especulación con eso”, aseveró Martino.   Diego Lainez, sin ""presión"" en la Nations League Sobre el caso de Diego Lainez y su poca participación con el Real Betis de España, Martino aseguró que estos enfrentamientos no son determinantes para el ex del América.  “Nosotros confiamos en él, de hecho ha sido convocado en los cinco juegos teniendo una parte final con pocos minutos en su equipo, pero es un futbolista que nos ha dado buenas respuestas... Entendimos que debe estar con nosotros y no son decisivos para él estos dos juegos”, aseveró.
",
